,region_code,city,upload_kbps_2008,upload_kbps_2009,upload_kbps_2010,upload_kbps_2011,upload_kbps_2012,upload_kbps_2013,upload_kbps_2014,total_tests_2008,total_tests_2009,total_tests_2010,total_tests_2011,total_tests_2012,total_tests_2013,total_tests_2014,download_kbps_2008,download_kbps_2009,download_kbps_2010,download_kbps_2011,download_kbps_2012,download_kbps_2013,download_kbps_2014,over200_2008,over200_2009,over200_2010,over200_2011,over200_2012,over200_2013,over200_2014,zip,primary_city,state
8024,OH,Cambridge,641.4447452,648.6059348,655.8218128,1034.406813,1341.785504,1790.247879,2188.377273,32325,59748,83566,133402,166985,157485,149313,5807.373903,8597.086374,10179.2069,12867.78621,11261.13903,15270.28567,13953.01345,32325,59748,83566,133402,166985,157485,149313,43725,Cambridge,OH
8025,OH,Canal Winchester,1416.986691,1841.595652,1398.478644,1112.689203,1230.070967,1716.851068,2314.778327,35566,81573,134848,125440,195726,403224,416612,4776.995521,6430.963455,7375.491022,7644.390658,8773.934144,12052.01047,15562.20327,35566,81573,134848,125440,195726,403224,416612,43110,Canal Winchester,OH
8026,OH,Canfield,,,2657.325306,2721.968694,2735.743906,2572.910914,2958.263897,,,9793,69437,89305,91170,77841,,,6620.983061,9484.831917,10350.51017,10767.58861,13948.92787,,,9793,69437,89305,91170,77841,44406,Canfield,OH
8027,OH,Canton,607.7346803,702.2929808,946.8503726,1322.142751,1881.72116,1841.818822,2733.924873,478835,662902,857828,1216765,1690894,1917905,1480482,6253.254481,8280.543479,9028.614658,11141.14074,12478.32624,13486.34466,15994.12836,478835,662902,857828,1216765,1690894,1917905,1480482,44702,Canton,OH
8028,OH,Canton,607.7346803,702.2929808,946.8503726,1322.142751,1881.72116,1841.818822,2733.924873,478835,662902,857828,1216765,1690894,1917905,1480482,6253.254481,8280.543479,9028.614658,11141.14074,12478.32624,13486.34466,15994.12836,478835,662902,857828,1216765,1690894,1917905,1480482,44703,Canton,OH
8029,OH,Canton,607.7346803,702.2929808,946.8503726,1322.142751,1881.72116,1841.818822,2733.924873,478835,662902,857828,1216765,1690894,1917905,1480482,6253.254481,8280.543479,9028.614658,11141.14074,12478.32624,13486.34466,15994.12836,478835,662902,857828,1216765,1690894,1917905,1480482,44704,Canton,OH
8030,OH,Canton,607.7346803,702.2929808,946.8503726,1322.142751,1881.72116,1841.818822,2733.924873,478835,662902,857828,1216765,1690894,1917905,1480482,6253.254481,8280.543479,9028.614658,11141.14074,12478.32624,13486.34466,15994.12836,478835,662902,857828,1216765,1690894,1917905,1480482,44705,Canton,OH
8031,OH,Canton,607.7346803,702.2929808,946.8503726,1322.142751,1881.72116,1841.818822,2733.924873,478835,662902,857828,1216765,1690894,1917905,1480482,6253.254481,8280.543479,9028.614658,11141.14074,12478.32624,13486.34466,15994.12836,478835,662902,857828,1216765,1690894,1917905,1480482,44706,Canton,OH
8032,OH,Canton,607.7346803,702.2929808,946.8503726,1322.142751,1881.72116,1841.818822,2733.924873,478835,662902,857828,1216765,1690894,1917905,1480482,6253.254481,8280.543479,9028.614658,11141.14074,12478.32624,13486.34466,15994.12836,478835,662902,857828,1216765,1690894,1917905,1480482,44707,Canton,OH
8033,OH,Canton,607.7346803,702.2929808,946.8503726,1322.142751,1881.72116,1841.818822,2733.924873,478835,662902,857828,1216765,1690894,1917905,1480482,6253.254481,8280.543479,9028.614658,11141.14074,12478.32624,13486.34466,15994.12836,478835,662902,857828,1216765,1690894,1917905,1480482,44708,Canton,OH
8034,OH,Canton,607.7346803,702.2929808,946.8503726,1322.142751,1881.72116,1841.818822,2733.924873,478835,662902,857828,1216765,1690894,1917905,1480482,6253.254481,8280.543479,9028.614658,11141.14074,12478.32624,13486.34466,15994.12836,478835,662902,857828,1216765,1690894,1917905,1480482,44709,Canton,OH
8035,OH,Canton,607.7346803,702.2929808,946.8503726,1322.142751,1881.72116,1841.818822,2733.924873,478835,662902,857828,1216765,1690894,1917905,1480482,6253.254481,8280.543479,9028.614658,11141.14074,12478.32624,13486.34466,15994.12836,478835,662902,857828,1216765,1690894,1917905,1480482,44710,Canton,OH
8036,OH,Canton,607.7346803,702.2929808,946.8503726,1322.142751,1881.72116,1841.818822,2733.924873,478835,662902,857828,1216765,1690894,1917905,1480482,6253.254481,8280.543479,9028.614658,11141.14074,12478.32624,13486.34466,15994.12836,478835,662902,857828,1216765,1690894,1917905,1480482,44714,Canton,OH
8037,OH,Canton,607.7346803,702.2929808,946.8503726,1322.142751,1881.72116,1841.818822,2733.924873,478835,662902,857828,1216765,1690894,1917905,1480482,6253.254481,8280.543479,9028.614658,11141.14074,12478.32624,13486.34466,15994.12836,478835,662902,857828,1216765,1690894,1917905,1480482,44718,Canton,OH
8038,OH,Canton,607.7346803,702.2929808,946.8503726,1322.142751,1881.72116,1841.818822,2733.924873,478835,662902,857828,1216765,1690894,1917905,1480482,6253.254481,8280.543479,9028.614658,11141.14074,12478.32624,13486.34466,15994.12836,478835,662902,857828,1216765,1690894,1917905,1480482,44721,Canton,OH
8039,OH,Cardington,510.7110329,575.840738,556.8555402,731.8097917,1373.862643,1717.420309,1058.878886,40254,57531,67999,35186,75241,41780,52935,4418.402515,5377.722535,7497.899141,9051.29,10169.13338,15187.84256,8412.735793,40254,57531,67999,35186,75241,41780,52935,43315,Cardington,OH
8040,OH,Carey,,,,672.7364,878.9974161,1645.80063,6567.233243,,,,6840,28521,28655,15381,,,,8560.527412,10098.88383,9776.09716,13956.68351,,,,6840,28521,28655,15381,43316,Carey,OH
8041,OH,Carrollton,,,,,,630.75,992.9082313,,,,,,18137,68719,,,,,,3143.367394,5593.993918,,,,,,18137,68719,44615,Carrollton,OH
8042,OH,Celina,885.518989,678.7092904,767.8222,1121.573157,1758.724309,2297.884055,4238.877382,96856,134039,133009,104135,122991,116522,114822,3908.340714,5677.758795,5690.001041,10105.37612,12072.73536,14509.87559,15808.65855,96856,134039,133009,104135,122991,116522,114822,45822,Celina,OH
