"county","cbsa","cntyname","cbsaname","pop10","afact"
"county","cbsa","cntyname","CBSA Name","Total Pop, 2010 census","county to cbsa alloc factor"
"55051"," ","Iron WI"," ",5916,1 
"55053"," ","Jackson WI"," ",20449,1 
"55055","48020","Jefferson WI","Watertown-Fort Atkinson, WI",83686,1 
"55057"," ","Juneau WI"," ",26664,1 
"55059","16980","Kenosha WI","Chicago-Naperville-Elgin, IL-IN-WI",166426,1 
"55061","24580","Kewaunee WI","Green Bay, WI",20574,1 
"55063","29100","La Crosse WI","La Crosse-Onalaska, WI-MN",114638,1 
"55065"," ","Lafayette WI"," ",16836,1 
"55067"," ","Langlade WI"," ",19977,1 
"55069","32980","Lincoln WI","Merrill, WI",28743,1 
"55071","31820","Manitowoc WI","Manitowoc, WI",81442,1 
"55073","48140","Marathon WI","Wausau, WI",134063,1 
"55075","31940","Marinette WI","Marinette, WI-MI",41749,1 
"55077"," ","Marquette WI"," ",15404,1 
"55078","43020","Menominee WI","Shawano, WI",4232,1 
"55079","33340","Milwaukee WI","Milwaukee-Waukesha-West Allis, WI",947735,1 
"55081"," ","Monroe WI"," ",44673,1 
"55083","24580","Oconto WI","Green Bay, WI",37660,1 
"55085"," ","Oneida WI"," ",35998,1 
"55087","11540","Outagamie WI","Appleton, WI",176695,1 
"55089","33340","Ozaukee WI","Milwaukee-Waukesha-West Allis, WI",86395,1 
"55091"," ","Pepin WI"," ",7469,1 
"55093","33460","Pierce WI","Minneapolis-St. Paul-Bloomington, MN-WI",41019,1 
"55095"," ","Polk WI"," ",44205,1 
"55097","44620","Portage WI","Stevens Point, WI",70019,1 
"55099"," ","Price WI"," ",14159,1 
"55101","39540","Racine WI","Racine, WI",195408,1 
"55103"," ","Richland WI"," ",18021,1 
"55105","27500","Rock WI","Janesville-Beloit, WI",160331,1 
"55107"," ","Rusk WI"," ",14755,1 
"55109","33460","St. Croix WI","Minneapolis-St. Paul-Bloomington, MN-WI",84345,1 
"55111","12660","Sauk WI","Baraboo, WI",61976,1 
"55113"," ","Sawyer WI"," ",16557,1 
"55115","43020","Shawano WI","Shawano, WI",41949,1 
"55117","43100","Sheboygan WI","Sheboygan, WI",115507,1 
"55119"," ","Taylor WI"," ",20689,1 
"55121"," ","Trempealeau WI"," ",28816,1 
"55123"," ","Vernon WI"," ",29773,1 
"55125"," ","Vilas WI"," ",21430,1 
"55127","48580","Walworth WI","Whitewater-Elkhorn, WI",102228,1 
"55129"," ","Washburn WI"," ",15911,1 
"55131","33340","Washington WI","Milwaukee-Waukesha-West Allis, WI",131887,1 
"55133","33340","Waukesha WI","Milwaukee-Waukesha-West Allis, WI",389891,1 
"55135"," ","Waupaca WI"," ",52410,1 
"55137"," ","Waushara WI"," ",24496,1 
"55139","36780","Winnebago WI","Oshkosh-Neenah, WI",166994,1 
"55141","49220","Wood WI","Wisconsin Rapids-Marshfield, WI",74749,1 
"56001","29660","Albany WY","Laramie, WY",36299,1 
